External ActivityID,Date,External MatterID,Staff,Type,ActivityType,Description,FixedFee,Hours,Rate,Amount
D7BC2D56-09A9-E911-91DE-D89EF30CAF29,2020-10-10,247,JBL2@SmokeballLawyers.com,Fee,Time,Research re location of Saez's parents,,0.2,275,55
D8BC2D56-09A9-E911-91DE-D89EF30CAF29,2020-10-10,247,JBL2@SmokeballLawyers.com,Fee,Time,Telephoen call out to process server re current status of service,,0.2,275,55
D9BC2D56-09A9-E911-91DE-D89EF30CAF29,2020-10-10,247,JBL2@SmokeballLawyers.com,Fee,Time,Email to process server re attempt service on parents,,0.1,275,27.5
DABC2D56-09A9-E911-91DE-D89EF30CAF29,2020-10-10,247,JBL2@SmokeballLawyers.com,Fee,Time,Research re location of Saez's parents,,0.2,275,55
DBBC2D56-09A9-E911-91DE-D89EF30CAF29,2020-10-10,247,JBL2@SmokeballLawyers.com,Fee,Time,Conferring with J Loel re service update,,0.1,275,27.5
DCBC2D56-09A9-E911-91DE-D89EF30CAF29,2020-10-10,247,JBL2@SmokeballLawyers.com,Fee,Time,Rang process server and left detailed messages,,0.1,450,45
DDBC2D56-09A9-E911-91DE-D89EF30CAF29,2020-10-10,247,JBL2@SmokeballLawyers.com,Fee,Time,Telephone call out to defendant's solicitor and left message,,0.1,275,27.5
DEBC2D56-09A9-E911-91DE-D89EF30CAF29,2020-10-10,247,JBL2@SmokeballLawyers.com,Fee,Time,Telephone call from defendant's solicitor re settlement tomorrow  offer,,0.1,275,27.5
DFBC2D56-09A9-E911-91DE-D89EF30CAF29,2020-10-10,247,JBL2@SmokeballLawyers.com,Fee,Time,Conferring with J Loel re offer of settlement,,0.1,275,27.5
E0BC2D56-09A9-E911-91DE-D89EF30CAF29,2020-10-10,247,JBL2@SmokeballLawyers.com,Fee,Time,Telephone call out to defendant's solicitor re the disclosure required before making offer,,0.1,275,27.5
E1BC2D56-09A9-E911-91DE-D89EF30CAF29,2020-10-10,247,JBL2@SmokeballLawyers.com,Fee,Time,Performing title search of defendant's property,,0.1,275,27.5
E2BC2D56-09A9-E911-91DE-D89EF30CAF29,2020-10-10,247,JBL2@SmokeballLawyers.com,Fee,Time,Perfoming party search on e-courts website,,0.1,275,27.5
E3BC2D56-09A9-E911-91DE-D89EF30CAF29,2020-10-10,247,JBL2@SmokeballLawyers.com,Fee,Time,Attempting to search family court registry for evidence of transfer application,,0.1,275,27.5
E4BC2D56-09A9-E911-91DE-D89EF30CAF29,2020-10-10,247,JBL2@SmokeballLawyers.com,Fee,Time,Conferring with J Loel re tactics for settlement / payout offer,,0.1,275,27.5
