External InvoiceID,Type,Description,StaffEmail,Amount
5098136E-09A9-E911-91DE-D89EF30CAF29,Expense,Invoice balance brought forward - Expenses,JBL2@SmokeballLawyers.com,43397.51
5098136E-09A9-E911-91DE-D89EF30CAF29,Fee,Invoice balance brought forward - Fees,JBL2@SmokeballLawyers.com,25176.8
5098136E-09A9-E911-91DE-D89EF30CAF29,Fee,Invoice balance brought forward - Fees,JBL2@SmokeballLawyers.com,869
5098136E-09A9-E911-91DE-D89EF30CAF29,Fee,Invoice balance brought forward - Fees,JBL2@SmokeballLawyers.com,880
5098136E-09A9-E911-91DE-D89EF30CAF29,Fee,Invoice balance brought forward - Fees,JBL2@SmokeballLawyers.com,2475
5098136E-09A9-E911-91DE-D89EF30CAF29,Fee,Invoice balance brought forward - Fees,JBL2@SmokeballLawyers.com,330
5098136E-09A9-E911-91DE-D89EF30CAF29,Fee,Invoice balance brought forward - Fees,JBL2@SmokeballLawyers.com,5566
5098136E-09A9-E911-91DE-D89EF30CAF29,Fee,Invoice balance brought forward - Fees,JBL2@SmokeballLawyers.com,3355
5198136E-09A9-E911-91DE-D89EF30CAF29,Expense,Invoice balance brought forward - Expenses,JBL2@SmokeballLawyers.com,950
5198136E-09A9-E911-91DE-D89EF30CAF29,Fee,Invoice balance brought forward - Fees,JBL2@SmokeballLawyers.com,4950
5198136E-09A9-E911-91DE-D89EF30CAF29,Fee,Invoice balance brought forward - Fees,JBL2@SmokeballLawyers.com,7161
5198136E-09A9-E911-91DE-D89EF30CAF29,Fee,Invoice balance brought forward - Fees,JBL2@SmokeballLawyers.com,110
5298136E-09A9-E911-91DE-D89EF30CAF29,Fee,Invoice balance brought forward - Fees,JBL2@SmokeballLawyers.com,160.16
5298136E-09A9-E911-91DE-D89EF30CAF29,Fee,Invoice balance brought forward - Fees,JBL2@SmokeballLawyers.com,267.85
5298136E-09A9-E911-91DE-D89EF30CAF29,Fee,Invoice balance brought forward - Fees,JBL2@SmokeballLawyers.com,37.44
5298136E-09A9-E911-91DE-D89EF30CAF29,Fee,Invoice balance brought forward - Fees,JBL2@SmokeballLawyers.com,4.35
5398136E-09A9-E911-91DE-D89EF30CAF29,Fee,Invoice balance brought forward - Fees,JBL2@SmokeballLawyers.com,7023.25
5398136E-09A9-E911-91DE-D89EF30CAF29,Fee,Invoice balance brought forward - Fees,JBL2@SmokeballLawyers.com,102.69
5498136E-09A9-E911-91DE-D89EF30CAF29,Fee,Invoice balance brought forward - Fees,JBL2@SmokeballLawyers.com,2752.75
5598136E-09A9-E911-91DE-D89EF30CAF29,Fee,Invoice balance brought forward - Fees,JBL2@SmokeballLawyers.com,1101.1
5698136E-09A9-E911-91DE-D89EF30CAF29,Fee,Invoice balance brought forward - Fees,JBL2@SmokeballLawyers.com,6771.28
5698136E-09A9-E911-91DE-D89EF30CAF29,Fee,Invoice balance brought forward - Fees,JBL2@SmokeballLawyers.com,1218.36
5698136E-09A9-E911-91DE-D89EF30CAF29,Fee,Invoice balance brought forward - Fees,JBL2@SmokeballLawyers.com,3389.71
5698136E-09A9-E911-91DE-D89EF30CAF29,Fee,Invoice balance brought forward - Fees,JBL2@SmokeballLawyers.com,42.61
5B98136E-09A9-E911-91DE-D89EF30CAF29,Fee,Invoice balance brought forward - Fees,JBL2@SmokeballLawyers.com,2675.06
5D98136E-09A9-E911-91DE-D89EF30CAF29,Expense,Invoice balance brought forward - Expenses,JBL2@SmokeballLawyers.com,364.39
5D98136E-09A9-E911-91DE-D89EF30CAF29,Fee,Invoice balance brought forward - Fees,JBL2@SmokeballLawyers.com,6956.95
5D98136E-09A9-E911-91DE-D89EF30CAF29,Fee,Invoice balance brought forward - Fees,JBL2@SmokeballLawyers.com,726
6398136E-09A9-E911-91DE-D89EF30CAF29,Expense,Invoice balance brought forward - Expenses,JBL2@SmokeballLawyers.com,7286.43
6398136E-09A9-E911-91DE-D89EF30CAF29,Fee,Invoice balance brought forward - Fees,JBL2@SmokeballLawyers.com,900.9
6398136E-09A9-E911-91DE-D89EF30CAF29,Fee,Invoice balance brought forward - Fees,JBL2@SmokeballLawyers.com,9098.65
6598136E-09A9-E911-91DE-D89EF30CAF29,Expense,Invoice balance brought forward - Expenses,JBL2@SmokeballLawyers.com,10608.6
6598136E-09A9-E911-91DE-D89EF30CAF29,Fee,Invoice balance brought forward - Fees,JBL2@SmokeballLawyers.com,350.35
6598136E-09A9-E911-91DE-D89EF30CAF29,Fee,Invoice balance brought forward - Fees,JBL2@SmokeballLawyers.com,198
